Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
HOU,James Harden,Eric Gordon,Trevor Ariza,PJ Tucker,Clint Capela,198,54,+11.0,79,118.2,79,59.2%,12,16.2%,88,31.5%,67,21.4,42,107.2,50,51.1%,21,11.3%,54,25.7%,100,8.5
OKC,Russell Westbrook,Corey Brewer,Paul George,Carmelo Anthony,Steven Adams,184,8,-10.6,17,107.1,38,53.2%,25,15.2%,38,22.4%,50,19.1,8,117.7,17,57.4%,75,17.1%,0,34.5%,83,11.8
UTA,Ricky Rubio,Donovan Mitchell,Joe Ingles,Derrick Favors,Rudy Gobert,159,96,+26.3,83,121.4,67,57.2%,50,13.2%,96,32.1%,54,19.2,92,95.1,79,47.1%,54,14.6%,79,21.2%,50,18.7
BOS,Terry Rozier,Jaylen Brown,Jayson Tatum,Al Horford,Aron Baynes,158,4,-12.7,8,98.1,4,46.7%,46,13.9%,100,34.8%,0,9.3,33,110.8,33,53.6%,58,14.6%,46,26.0%,46,19.7
WAS,John Wall,Bradley Beal,Otto Porter,Markieff Morris,Marcin Gortat,156,21,-3.2,50,113.5,33,52.8%,62,12.8%,67,28.2%,46,19.0,17,116.7,0,61.9%,71,16.0%,96,18.0%,4,27.0
PHI,Ben Simmons,JJ Redick,Robert Covington,Dario Saric,Joel Embiid,155,17,-3.2,4,97.4,0,42.9%,17,16.1%,79,30.7%,79,22.9,54,100.6,29,54.5%,62,15.8%,21,28.9%,96,9.7
POR,Damian Lillard,CJ McCollum,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,140,12,-6.0,54,114.3,17,51.1%,96,9.3%,92,31.6%,12,12.9,4,120.3,12,57.5%,67,15.9%,25,28.8%,17,23.3
GSW,Klay Thompson,Andre Iguodala,Kevin Durant,Draymond Green,JaVale McGee,130,71,+13.8,42,113.1,88,61.1%,29,14.6%,25,20.4%,21,13.9,62,99.2,83,44.4%,8,10.7%,58,25.6%,58,16.1
MIN,Jeff Teague,Andrew Wiggins,Jimmy Butler,Taj Gibson,Karl-Anthony Towns,124,0,-34.8,0,94.4,12,48.6%,21,15.3%,12,16.1%,8,12.1,0,129.1,4,58.2%,4,9.4%,8,29.9%,12,25.0
CLE,George Hill,JR Smith,LeBron James,Jeff Green,Tristan Thompson,121,88,+18.3,46,113.2,83,60.8%,83,10.7%,0,8.9%,100,43.4,96,94.9,96,39.5%,17,11.0%,38,27.8%,67,15.1
GSW,Klay Thompson,Andre Iguodala,Kevin Durant,Draymond Green,Kevon Looney,119,46,+10.1,12,106.7,29,52.4%,92,10.1%,17,16.9%,42,18.4,83,96.6,100,37.6%,33,12.6%,29,28.6%,8,26.5
HOU,Chris Paul,James Harden,Eric Gordon,Trevor Ariza,PJ Tucker,115,50,+10.6,71,114.8,8,48.1%,71,12.2%,50,23.4%,92,28.3,50,104.2,54,50.5%,50,14.2%,92,18.9%,0,29.2
GSW,Stephen Curry,Klay Thompson,Kevin Durant,Draymond Green,Jordan Bell,110,79,+17.0,100,130.9,96,62.1%,8,16.4%,71,28.8%,33,17.5,21,113.9,25,55.9%,0,8.7%,67,21.8%,54,17.8
GSW,Stephen Curry,Klay Thompson,Kevin Durant,Draymond Green,JaVale McGee,106,33,+4.7,33,110.4,75,57.5%,33,14.2%,42,22.7%,4,10.8,46,105.7,75,47.6%,29,12.4%,29,28.6%,88,11.5
BOS,Terry Rozier,Marcus Smart,Jayson Tatum,Marcus Morris,Al Horford,106,100,+26.5,92,124.5,42,53.2%,100,6.6%,29,20.8%,96,34.0,71,98.1,58,50.0%,100,20.2%,75,21.3%,29,21.4
BOS,Terry Rozier,Jaylen Brown,Semi Ojeleye,Jayson Tatum,Al Horford,103,75,+14.6,62,114.6,62,56.3%,67,12.6%,58,25.0%,83,23.0,58,100.0,58,50.0%,42,12.9%,100,12.2%,29,21.4
