Defensive Team,Season,Shots Attempted,Shots Attempted Per 100 Possessions,eFG%,qSQ,qSM,% Mid-Range
Orlando Magic,2021-22,7295,89.940,53.24,51.61,0.12,15.517
Washington Wizards,2017-18,6914,87.276,52.21,51.62,-0.90,19.236
Denver Nuggets,2018-19,7083,88.960,52.08,51.63,-1.06,15.220
Miami Heat,2019-20,6282,87.688,52.32,51.66,-0.39,12.798
Detroit Pistons,2020-21,6260,88.958,54.13,51.66,0.87,13.946
Dallas Mavericks,2019-20,6779,91.881,52.44,51.69,-0.53,15.430
Phoenix Suns,2019-20,6272,86.439,54.00,51.70,0.87,14.174
Memphis Grizzlies,2017-18,6587,85.346,52.88,51.70,-0.43,19.311
New York Knicks,2020-21,6209,89.946,50.93,51.71,-2.34,13.013
Oklahoma City Thunder,2020-21,6602,91.100,54.71,51.75,1.32,14.480
Milwaukee Bucks,2021-22,7431,90.877,53.61,51.75,0.42,14.265
Chicago Bulls,2021-22,7168,89.276,54.09,51.75,0.74,15.751
Detroit Pistons,2018-19,6970,87.289,52.59,51.81,-0.59,17.461
Cleveland Cavaliers,2021-22,7152,90.911,51.96,51.83,-1.44,14.206
Oklahoma City Thunder,2019-20,6454,90.443,51.81,51.83,-1.27,15.184
Portland Trail Blazers,2020-21,6355,90.142,54.62,51.84,1.05,15.012
Minnesota Timberwolves,2019-20,5786,86.981,54.10,51.87,0.72,15.693
Indiana Pacers,2020-21,6576,89.714,53.07,51.88,-0.48,12.865
Oklahoma City Thunder,2021-22,7421,91.742,53.32,51.89,-0.07,12.990
Detroit Pistons,2019-20,5676,89.839,54.04,51.90,0.98,15.134
Oklahoma City Thunder,2018-19,7205,86.195,52.32,51.91,-1.14,16.308
Toronto Raptors,2020-21,6099,86.144,54.26,51.91,0.81,12.150
Sacramento Kings,2020-21,6438,89.666,55.69,51.92,2.07,14.150
Oklahoma City Thunder,2017-18,6735,87.365,52.41,51.93,-1.19,18.946
LA Clippers,2017-18,7192,89.419,51.98,51.94,-1.42,21.427
New Orleans Pelicans,2020-21,6431,89.121,55.01,51.96,1.40,13.482
New York Knicks,2021-22,7049,89.796,52.09,51.96,-1.43,14.243
Indiana Pacers,2021-22,7212,89.735,55.15,51.97,1.57,13.852
New York Knicks,2019-20,5678,87.300,54.06,51.98,0.89,14.759
Orlando Magic,2017-18,7171,90.077,52.48,51.98,-0.85,20.081
Dallas Mavericks,2018-19,7315,90.476,52.17,52.01,-1.42,17.416
Denver Nuggets,2021-22,7166,89.374,53.75,52.02,0.31,14.122
Minnesota Timberwolves,2020-21,6426,88.076,55.58,52.03,1.65,14.550
Charlotte Hornets,2018-19,7312,90.428,53.77,52.03,0.56,15.714
Minnesota Timberwolves,2017-18,6942,88.523,53.92,52.04,0.39,19.260
Los Angeles Lakers,2018-19,7606,90.397,51.55,52.05,-1.86,15.843
New York Knicks,2018-19,7259,90.342,53.38,52.11,-0.13,14.809
Atlanta Hawks,2018-19,7416,86.950,54.13,52.16,0.70,16.127
Sacramento Kings,2021-22,7398,91.097,55.17,52.22,1.43,13.801
Toronto Raptors,2019-20,6358,87.781,50.21,52.24,-2.99,12.834
Chicago Bulls,2018-19,7219,90.114,54.13,52.24,0.75,15.944
New Orleans Pelicans,2018-19,7609,90.186,53.25,52.26,-0.22,15.574
Cleveland Cavaliers,2017-18,7238,90.509,53.98,52.35,0.29,18.500
Denver Nuggets,2019-20,6310,88.388,53.26,52.36,-0.36,13.170
Minnesota Timberwolves,2018-19,7386,89.909,53.78,52.37,-0.12,15.110
Denver Nuggets,2020-21,6149,87.643,54.48,52.38,0.41,13.384
Brooklyn Nets,2021-22,7395,91.420,52.10,52.40,-1.65,14.577
Golden State Warriors,2019-20,5758,88.354,55.24,52.42,1.46,12.886
Orlando Magic,2020-21,6456,91.238,54.72,52.43,0.49,13.910
Memphis Grizzlies,2021-22,7268,88.786,52.25,52.43,-1.85,14.296
Sacramento Kings,2018-19,7430,88.096,53.27,52.46,-0.64,14.428
Washington Wizards,2019-20,6361,86.403,55.82,52.49,2.32,13.803
Detroit Pistons,2021-22,7050,87.687,54.13,52.66,-0.37,13.872
Houston Rockets,2018-19,7106,88.615,52.47,52.66,-1.59,14.481
Atlanta Hawks,2019-20,6078,87.870,54.32,52.66,0.56,14.265
New Orleans Pelicans,2019-20,6610,88.582,53.21,52.68,-0.76,13.797
Cleveland Cavaliers,2020-21,6245,88.808,55.57,52.70,1.14,13.131
Houston Rockets,2019-20,6589,88.669,52.89,52.72,-1.08,13.234
Houston Rockets,2020-21,6411,88.599,55.50,52.77,0.99,13.539
Toronto Raptors,2021-22,6919,87.649,53.53,52.83,-0.82,12.589
Phoenix Suns,2018-19,7230,87.477,54.47,52.88,0.04,14.703
Los Angeles Lakers,2021-22,7424,89.879,53.97,53.03,-0.71,13.968
Chicago Bulls,2019-20,5364,82.778,54.64,53.10,0.32,11.391
Washington Wizards,2018-19,7337,88.750,54.68,53.12,0.30,13.970
Minnesota Timberwolves,2021-22,7163,86.761,53.52,53.14,-1.18,12.495
Cleveland Cavaliers,2018-19,7148,90.596,56.39,53.16,2.04,16.046
Charlotte Hornets,2019-20,5603,91.239,54.62,53.21,0.22,12.957
Portland Trail Blazers,2021-22,7045,87.942,55.89,53.26,1.24,11.810
Charlotte Hornets,2021-22,7362,89.726,54.35,53.27,-0.61,12.972
Charlotte Hornets,2020-21,6346,89.849,55.04,53.30,0.20,10.952
Cleveland Cavaliers,2019-20,5811,90.599,55.98,53.66,1.08,13.801
Houston Rockets,2021-22,7373,89.838,55.42,54.21,-0.31,12.776
